"roi_num","hemi","network","subregion"
91,"L","DorsAttn","PrCv2"
92,"L","SalVentAttn","ParOper1"
93,"L","SalVentAttn","ParOper2"
94,"L","SalVentAttn","ParOper3"
95,"L","SalVentAttn","ParOper4"
96,"L","SalVentAttn","TempOcc1"
97,"L","SalVentAttn","FrOperIns1"
98,"L","SalVentAttn","FrOperIns2"
99,"L","SalVentAttn","FrOperIns3"
100,"L","SalVentAttn","FrOperIns4"
101,"L","SalVentAttn","FrOperIns5"
102,"L","SalVentAttn","FrOperIns6"
103,"L","SalVentAttn","FrOperIns7"
104,"L","SalVentAttn","FrOperIns8"
105,"L","SalVentAttn","FrOperIns9"
106,"L","SalVentAttn","PFCl1"
107,"L","SalVentAttn","Med1"
108,"L","SalVentAttn","Med2"
109,"L","SalVentAttn","Med3"
110,"L","SalVentAttn","Med4"
111,"L","SalVentAttn","Med5"
112,"L","SalVentAttn","Med6"
113,"L","SalVentAttn","Med7"
114,"L","Limbic","OFC1"
115,"L","Limbic","OFC2"
116,"L","Limbic","OFC3"
117,"L","Limbic","OFC4"
118,"L","Limbic","OFC5"
119,"L","Limbic","TempPole1"
120,"L","Limbic","TempPole2"
121,"L","Limbic","TempPole3"
122,"L","Limbic","TempPole4"
123,"L","Limbic","TempPole5"
124,"L","Limbic","TempPole6"
125,"L","Limbic","TempPole7"
126,"L","Limbic","TempPole8"
127,"L","Cont","Par1"
128,"L","Cont","Par2"
129,"L","Cont","Par3"
130,"L","Cont","Par4"
131,"L","Cont","Par5"
132,"L","Cont","Par6"
133,"L","Cont","Temp1"
134,"L","Cont","OFC1"
135,"L","Cont","PFCl1"
136,"L","Cont","PFCl2"
137,"L","Cont","PFCl3"
138,"L","Cont","PFCl4"
139,"L","Cont","PFCl5"
140,"L","Cont","PFCl6"
141,"L","Cont","PFCl7"
142,"L","Cont","PFCl8"
143,"L","Cont","PFCv1"
144,"L","Cont","pCun1"
145,"L","Cont","pCun2"
146,"L","Cont","Cing1"
147,"L","Cont","Cing2"
148,"L","Cont","PFCmp1"
149,"L","Default","Temp1"
150,"L","Default","Temp2"
151,"L","Default","Temp3"
152,"L","Default","Temp4"
153,"L","Default","Temp5"
154,"L","Default","Temp6"
155,"L","Default","Temp7"
156,"L","Default","Temp8"
157,"L","Default","Temp9"
158,"L","Default","Temp10"
159,"L","Default","Par1"
